Company_name,Trading_name,Last Trading Price,Closing Price,Last Update,Day's Range,Change*,Day's Value (mn),Change Percentage,52 Weeks' Moving Range,Opening Price,Day's Volume (Nos.),Adjusted Opening Price,Day's Trade (Nos.),Yesterday's Closing Price,Market Capitalization (mn),Authorized Capital (mn),Debut Trading Date,Paid-up Capital (mn),Type of Instrument,Face/par Value,Market Lot,Total No. of Outstanding Securities,Sector,Address,Contact Phone,Fax,E-mail,Web Address,Company Secretary Name,Cell No.,Telephone No.,E-mail
Dominage Steel Building Systems Limited,DOMINAGE,22.40,22.40,3:45 PM,21.40 - 22.70,0.6,3.95,2.75%,19.40 - 46.90,21.40,"180,726.00",21.80,221,21.80,"2,236.680","1,500.00","02 Dec, 2020","1,026.00",Equity,10.0,1,"102,600,000",Engineering,"J.R Casero Tower, 11th Floor,46, Mohakhali C/A, Dhaka-1212.",02 222282140-43,02 222282380,info@dominage.net,http://www.dominage.net,Md. Jamir Hosen Chowdhury,'01733-037301,'88-02-222282140-43 ext-140,cs@dominage.net
Doreen Power Generations and Systems Limited,DOREENPWR,67.70,67.70,3:45 PM,67.30 - 68.20,-0.9,22.58,-1.31%,65.00 - 95.00,67.30,"334,781.00",68.60,334,68.60,"11,093.533","2,000.00","06 Apr, 2016","1,617.13",Equity,10.0,1,"161,713,305",Fuel & Power,"House # 192/A(4th Floor), Lane-01rnMohakhali DOHS, Dhaka-1206",02-2222-60744.,02-222260766.,info@doreenpower.com,http://www.doreenpower.com,Masudur Rahman Bhuiyan FCS,01730-709671,+88-02-9860744 Ext. 113,masud@doreenpower.com
Desh Garments Ltd.,DSHGARME,152.90,152.90,3:45 PM,146.50 - 160.00,3.5,2.15,2.34%,132.10 - 294.80,160.00,"14,307.00",149.40,198,149.40,"1,125.707",100.00,,75.35,Equity,10.0,1,"7,534,856",Textile,"Awal Centre (6th Floor), 34, Kemal Ataturk Avenue, Banani C/A, Dhaka -1213","9822019, 9822314",88 - 02 - 8826049,share@deshgroup.com,http://www.deshgroup.com/desh-garments-ltd.html,,,,
Dragon Sweater and Spinning Limited,DSSL,17.40,17.40,3:45 PM,16.80 - 17.50,0.3,18.94,1.75%,14.70 - 24.80,17.10,"1,106,254.00",17.10,613,17.10,"3,604.565","8,000.00","23 Mar, 2016","2,107.93",Equity,10.0,1,"210,793,275",Textile,"25/2 D.I.T Road, Malibagh Chowdhury Para, Dhaka-1219","880229331404, 88029346815, 9339588",880-2-8315572,info@dsslbd.com,http://www.dsslbd.com,Dipak Kumar Saha,01913867976,,dipaksaha777@gmail.com
Dulamia Cotton Spinning Mills Ltd.,DULAMIACOT,71.60,70.20,3:45 PM,66.70 - 73.30,3.6,0.39,5.29%,45.00 - 83.20,73.30,"5,523.00",68.00,31,68.00,513.849,300.00,,75.57,Equity,10.0,1,"7,556,600",Textile,"Ancher Tower, 108, Bir Uttam C.R. Dutta Road, Dhaka-1205.","+88-02 58610012-18, 03323-79357",880 - 02 - 9662734,info@dulamiabd.com,http://www.dulamiabd.com,Kazi Ekramul Hoque,01713554206,+88-02 58610012-18 (Ext.-201),kazi.hoque@multimodebd.com
Dutch-Bangla Bank Ltd.,DUTCHBANGL,62.80,62.80,3:45 PM,62.00 - 64.70,0,5.40,0.00%,60.70 - 95.50,62.30,"86,076.00",62.80,124,62.80,"43,693.100","15,000.00",,"6,957.50",Equity,10.0,1,"695,750,000",Bank,"47, Motijheel C/A, Dhaka",9574196-8   ext. 119,88  02 9561889,contact@dutchbanglabank.com,http://www.dutchbanglabank.com,Mohammed Mesbahul Alam,1847278119,47112240 (direct)`,mesbah.alam@dutchbanglabank.com
Eastern Insurance Company Ltd.,EASTERNINS,50.60,50.60,3:45 PM,50.10 - 51.90,-0.5,6.96,-0.98%,50.10 - 168.00,51.10,"138,391.00",51.10,299,51.10,"2,202.928","1,000.00",,431.10,Equity,10.0,1,"43,110,144",Insurance,"44, Dilkusha C/A (2nd Floor), Dhaka - 1000","02223383033-4, 02223384246-8",9569735,eicl@dhaka.net,http://www.easterninsurancebd.com,Md. Shamsul Amin,01751594211,"9563033-34, 9564246-48 PABX-206",aminsalma1984@yahoo.com
Eastland Insurance Company Ltd.,EASTLAND,25.10,25.10,3:45 PM,24.60 - 26.00,0,4.33,0.00%,24.60 - 48.70,25.20,"171,704.00",25.10,229,25.10,"2,105.403","1,000.00",,838.81,Equity,10.0,1,"83,880,582",Insurance,"13, Dilkusha C/A , Dhaka - 1000",02223384600,02-9565706,info@eastlandinsurance.com,http://www.eastlandinsurance.com,"MA Rahman, FCS",01936329416,02223384600,secretary@eastlandinsurance.com
Eastern Lubricants Blenders Limited,EASTRNLUB,"1,875.90","1,875.90",3:45 PM,"1,842.70 - 1,899.90",-4.4,8.35,-0.23%,"1,330.00 - 3,780.00","1,850.00","4,500.00","1,880.30",430,"1,880.30","2,242.822",50.00,,11.95,Equity,10.0,1,"1,192,800",Fuel & Power,"PADMA BHABAN, Strand RoadrnSadarghat, Chattogram-4000","031-614235-7, 637748-9","031-635524, 633554",share@pocl.gov.bd,http://www.elbl.gov.bd,Ali Absar,01777703383,031-614235-7 Ext.286,aabsar74@gmail.com
Eastern Bank Ltd.,EBL,31.70,31.80,3:45 PM,31.50 - 32.40,-0.3,19.24,-0.94%,31.50 - 42.40,32.00,"604,485.00",32.00,191,32.00,"34,339.121","12,000.00",,"10,731.00",Equity,10.0,1,"1,073,097,525",Bank,"100 Gulshan Avenue, Dhaka-1212, BangladeshrnrnAndrnShare Department: Z Towr (6th floor), Holding # 04, Road # 132, Gulshan-1, Dhaka-1212","01814-225335, +8809666777325 Ext. 8630",+88-02-55069009,sharedepartment@ebl-bd.com,http://www.ebl.com.bd,"Md. Abdullah Al Mamun, FCS",01817543805,+88 09666777325 Ext.8212,abdullah.al.mamun@ebl-bd.com
EBL First Mutual Fund,EBL1STMF,7.40,7.40,3:45 PM,7.30 - 7.40,0,0.09,0.00%,7.00 - 10.20,7.40,"12,034.00",7.40,21,7.40,"1,071.181",-,,"1,447.54",Mutual Fund,10.0,1,"144,754,222",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,,,,
EBL NRB Mutual Fund,EBLNRBMF,6.50,6.50,3:45 PM,6.40 - 6.60,0,6.05,0.00%,5.90 - 8.20,6.40,"938,322.00",6.50,96,6.50,"1,457.698",-,,"2,242.61",Mutual Fund,10.0,1,"224,261,303",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,,,,
Eastern Cables Ltd.,ECABLES,179.80,179.80,3:45 PM,179.80 - 182.80,-3.6,13.76,-1.96%,115.60 - 214.40,179.80,"76,463.00",183.40,266,183.40,"4,841.760",600.00,,264.00,Equity,10.0,1,"26,400,000",Engineering,"North Patenga, Chattogram. rnAndrnBangladesh Steel & Engineering Corporation Bhaban (4th Floor)rn102 Kazi Nazrul Islam AvenuernKarwan Bazar, Dhaka.","0312501290, 0312501297.",312501292,"info@easterncables.gov.bd , accounts@easterncables.com",http://www.easterncables.gov.bd,Md. Golam Mawla,01554323286,031-2501297,golam_2011.mawla@yahoo.com
eGeneration Limited,EGEN,45.40,45.40,3:45 PM,44.10 - 45.50,0.4,2.64,0.89%,42.50 - 69.40,44.10,"58,910.00",45.00,60,45.00,"3,375.000","1,000.00","23 Feb, 2021",750.00,Equity,10.0,1,"75,000,000",IT Sector,"Saimon Center, House # 4/A, Level # 5, Road # 22, Gulshan - 1","02 222293076, 02 222289177",,info@egeneration.co,http://www.egeneration.co,Mr. Jishan Ahmed Siddiquee (CC),01670881558,"02 222293076, 02 222289177",jishan.ahmed@egeneration.co
Eastern Housing Limited,EHL,53.80,53.80,3:45 PM,51.80 - 54.20,1,17.14,1.89%,45.80 - 73.50,52.10,"322,433.00",52.80,492,52.80,"4,928.624","2,000.00",,933.45,Equity,10.0,1,"93,345,153",Services & Real Estate,"59/B, Kemal Ataturk Avenue, BananirnDhaka-1213, Bangladesh. rnAnd (Share Office)rn125/A, Motijheel Commercial ArearnDhaka-1000, Bangladesh.","'+88- 02-55033669, '+88- 02-9566303-5",+88-0-9566311,share@easternhousing.com,http://www.easternhousing.com,"Salim Ahmed, FCS",'01713003131,+88- 02-55033669   Ext-212,salim@easternhousing.com
Express Insurance Limited,EIL,28.20,28.20,3:45 PM,28.20 - 28.20,-0.5,0.30,-1.74%,3.00 - 43.50,28.20,"10,573.00",28.70,24,28.70,"1,871.167",750.00,"24 Aug, 2020",651.97,Equity,10.0,1,"65,197,464",Insurance,"Al-Razi Complex (Royal Group), 9th Floor & 10th Floor, 166-167 Shahid Sayed Nazrul Islam Sarani, Bijoynagar, Dhaka 1000.","02-9554421 PABX : 9561255, 9569546, 9557196",02223388616,express.compliance@gmail.com,http://www.eilbd.com,Sarker Niaz Hossain,01703-178318,9559546,niazhossain786@gmail.com
Emerald Oil Industries Ltd.,EMERALDOIL,37.20,37.20,3:45 PM,36.80 - 38.20,-0.3,16.45,-0.80%,30.10 - 46.60,37.00,"444,986.00",37.50,512,37.50,"2,239.256","1,000.00","19 Mar, 2014",597.14,Equity,10.0,1,"59,713,500",Food & Allied,"Hallimunnesa\'s Court, 9th Floor, 23 Kakrail, Dhaka - 1000",'01810-035028,,emldoil@yahoo.com,http://www.spondonoil.com,,,,
Envoy Textiles Limited,ENVOYTEX,43.00,43.00,3:45 PM,41.50 - 43.30,1,1.87,2.38%,32.00 - 55.20,41.80,"44,392.00",42.00,222,42.00,"7,044.860","4,000.00","09 Dec, 2012","1,677.35",Equity,10.0,1,"167,734,767",Textile,"Envoy Tower, 18/E, Lake Circus Kalabagan (West Panthapath), Dhaka - 1205","+88 02 9102583 - 90, 9102583-90 Ext. 810",+88 02 -9130162,info@envoytextiles.com,http://www.envoytextiles.com,M Saiful Islam Chowdhury FCS,01713-277534,9102583-90 Ext. 801,saiful.chowdhury@envoytextiles.com
Energypac Power Generation Limited,EPGL,35.00,35.00,3:45 PM,34.90 - 35.80,-0.6,19.71,-1.69%,34.30 - 57.80,35.80,"564,041.00",35.60,487,35.60,"6,769.810","5,000.00","19 Jan, 2021","1,901.63",Equity,10.0,1,"190,163,216",Fuel & Power,"Energy Center, 25, Tejgaon, I/A, Dhaka-1208.",02-8870669,02-8870697,sales@energypac.com,http://www.energypac.com,Md. Alauddin Shibly,01713061579,,Shibly.cs@energypac.com
Esquire Knit Composite Limited,ESQUIRENIT,35.10,35.10,3:45 PM,33.30 - 35.30,1.3,9.04,3.85%,30.50 - 44.20,33.40,"261,736.00",33.80,219,33.80,"4,559.479","2,000.00","09 Apr, 2019","1,348.96",Equity,10.0,1,"134,895,833",Textile,"Esquire Tower, 21, Shaheed Tajuddin Ahmed Sarani, Tejgaon I/A,  Dhaka-1208",+8809612443322 Ext: 788,,info@esquirebd.com,http://www.esquireknit.com,Md. Monir Hossain,01711549219,+8809612443322 Ext. 788,cs@esquire.com.bd
Evince Textiles Limited,ETL,9.50,9.50,3:45 PM,9.30 - 9.60,0.1,3.16,1.06%,8.70 - 15.30,9.30,"337,408.00",9.40,138,9.40,"1,719.749","3,500.00","17 Jul, 2016","1,829.52",Equity,10.0,1,"182,952,000",Textile,"Lotus Kamal Tower One ( Level 12)rn57, Joar Sahara C/A, Nikunja-2rnNew Airport Road, Dhaka-1229.","880-2-8900870-4, 8900781-3",+880-2-8900784,info@evincetextiles.com,http://www.evincetextiles.com,Md. Sabbir Hasan Mahmud,+88 01717-333243,"880-2-8900870-4, 8900781-3 Ext. 217",sabbir@evincetextiles.com
EXIM Bank 1st Mutual Fund,EXIM1STMF,5.80,5.70,3:45 PM,5.60 - 5.80,0.1,0.77,1.75%,5.60 - 10.10,5.80,"135,080.00",5.70,61,5.70,816.561,-,"16 Jul, 2013","1,432.56",Mutual Fund,10.0,1,"143,256,343",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,,,,
Export Import (Exim) Bank of Bangladesh Limited,EXIMBANK,10.60,10.60,3:45 PM,10.40 - 10.60,0.1,3.57,0.95%,10.40 - 14.40,10.50,"338,620.00",10.50,183,10.50,"15,199.352","20,000.00",,"14,475.60",Equity,10.0,1,"1,447,557,344",Bank,"Symphony, Plot#SE(F):9, Road-142, Gulshan Avenue, Dhaka-1212","88-02-55045547, Ext: 157, 177",88-02-55045567,bs@eximbankbd.com,http://www.eximbankbd.com,Md. Monirul Islam,01922290840,"88-02-55045547, Ext: 116",bs@eximbankbd.com
Familytex (BD) Limited,FAMILYTEX,4.90,4.90,3:45 PM,4.90 - 4.90,0,0.01,0.00%,3.80 - 6.80,4.90,996.00,4.90,5,4.90,"1,735.386","4,000.00","18 Jun, 2013","3,541.60",Equity,10.0,1,"354,160,388",Textile,"House # 127 (3rd Floor), Road # 10, Block # C, Niketon, Gulshan - 01, Dhaka.","880-2-9881941, 9881806",880-2-9862055,info@familytexbd.com,http://www.familytexbd.com,,,,
Far Chemical Industries Limited,FARCHEM,10.80,10.80,3:45 PM,10.50 - 11.00,0.1,5.23,0.93%,10.50 - 18.70,10.70,"490,090.00",10.70,207,10.70,"2,333.600","3,000.00","08 Jul, 2014","2,180.93",Equity,10.0,1,"218,093,423",Pharmaceuticals & Chemicals,"House No: 11 (Floor: 5-A), Road No: 12, Niketon, Gulshan-1, Dhaka-1212","+88-02-9858734, 01794058818",+88-02-9858735,farchemicalltd@gmail.com,http://www.farchemicalbd.com,,,,
Fareast Finance & Investment Limited,FAREASTFIN,6.10,6.10,3:45 PM,6.00 - 6.10,0,0.27,0.00%,4.60 - 10.70,6.10,"45,150.00",6.10,20,6.10,"1,000.786","2,000.00","17 Sep, 2013","1,640.63",Equity,10.0,1,"164,063,330",Financial Institutions,"Simpletree Lighthouse (10th floor), Plot-53, Road-21, Block-B, Kemal Ataturk Avenue, Banani, Dhaka-1213.","55033328-30, 55033334",,ffil@bdcom.net,http://www.ffilbd.com,Md. Ramzan  Hossain,01977-334502,55033328,ramzan@ffilbd.com
Fareast Islami Life Insurance Co. Ltd.,FAREASTLIF,75.70,75.70,3:45 PM,74.30 - 78.80,-0.1,13.97,-0.13%,45.30 - 119.00,74.30,"185,627.00",75.80,564,75.80,"5,665.501","1,000.00",,747.43,Equity,10.0,1,"74,742,751",Insurance,"Fareast Tower (Level-18), 35 Topkhana Road, Dhaka-1000",9613000123 Ext. 1032 & 1125,88-02-9573077,info@fareastislamilife.com,http://www.fareastislamilife.com,Mahamudhul Hasan ACS,01787652767,9613000123 Ext. 1014,mahamudhul2011@gmail.com
FAS Finance & Investment Limited,FASFIN,5.50,5.50,3:45 PM,5.50 - 5.80,-0.1,11.24,-1.79%,4.90 - 11.70,5.70,"2,016,087.00",5.60,485,5.60,834.833,"2,100.00",,"1,490.77",Equity,10.0,1,"149,077,364",Financial Institutions,"Suvastu Imam Square (4th & 5th Floor),65, Gulshan Avenue, Gulshan- 1, Dhaka-1212.",+88-2-58815841   '+ 88-09604046565,+88-029860531,info@fasbd.com,http://www.fasbd.com,Md. Zahid Mahmud,+88-01844014912,+88-2-58815841  '+ 88-09604046565 (ex-103),zahid@fasbd.com
First Bangladesh Fixed Income Fund,FBFIF,5.00,5.00,3:45 PM,5.00 - 5.10,-0.1,5.36,-1.96%,4.90 - 7.30,5.10,"1,066,257.00",5.10,102,5.10,"3,958.350",-,,"7,761.00",Mutual Fund,10.0,1,"776,147,028",Mutual Funds,"Sky View Henolux Center, Office No: D-6, 6th Floor, 3/1, Purana Paltan, Dhaka-1000","01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,,,,
Federal Insurance Company Ltd.,FEDERALINS,25.40,25.10,3:45 PM,24.70 - 26.50,0.2,0.93,0.79%,24.70 - 44.00,26.50,"37,285.00",25.20,88,25.20,"1,790.199","1,000.00",,710.40,Equity,10.0,1,"71,039,643",Insurance,"Navana DH Tower (6th Floor), 6 Panthapath, Dhaka- 1215","55013781, 55013782, 01740857274",55013783,headoffice@federalinsubd.com,http://www.federalinsubd.com,Sheikh Mohammad Anwar Uddin,1819806474,"55013881 55013781-2, Ext.: 13",anwar3t@gmail.com
Far East Knitting & Dyeing Industries Limited,FEKDIL,17.50,17.50,3:45 PM,16.90 - 17.70,0.3,3.57,1.74%,14.80 - 25.30,17.00,"205,242.00",17.20,155,17.20,"3,762.400","3,000.00","28 Aug, 2014","2,187.44",Equity,10.0,1,"218,744,171",Textile,"Moyeen Centre, House No. 9/B, Road No. 3, Gulshan 1, Dhaka 1212","9848508, 58810170, 58814013, 9857187",880-2-9848509,info@fareastknit.com,http://www.fareastknit.com,Md. Sorafuzzaman,01711593385,"9848508, 58810170,58814013 (ext. 103)",zaman@fareastknit.com
Fine Foods Limited,FINEFOODS,45.10,45.10,3:45 PM,44.70 - 46.40,-0.5,10.32,-1.10%,36.00 - 63.80,44.80,"229,581.00",45.60,366,45.60,637.211,"1,000.00",,139.74,Equity,10.0,1,"13,973,918",Food & Allied,"New Market City Complex (Level-6), 44/1, Rahim Square, New Market, Dhaka- 1205.","9671320, 9667868, 01926766469",88-02-9660354,finefoodsltd@live.com,http://www.finefoodslimited.com,Md. Sohel Hossain,01926766469,"9671320, 9667868 ext.199",finefoodsltd@live.com
First Finance Limited,FIRSTFIN,5.70,5.70,3:45 PM,5.60 - 6.00,0,1.52,0.00%,4.90 - 9.90,6.00,"267,270.00",5.70,79,5.70,675.705,"5,000.00",,"1,185.00",Equity,10.0,1,"118,544,663",Financial Institutions,"Jahangir Tower (3rd Floor), 10, Kawran Bazar, Dhaka - 1215","28189676, 255013841, 1987007714",28153971,info@first-finance.com.bd,http://www.first-finance.com.bd,Md. Shahjahan Ali Pk.,1987007880,0255013841,secretary@first-finance.com.bd
First Security Islami Bank Limited,FIRSTSBANK,9.90,9.90,3:45 PM,9.80 - 10.00,0,8.96,0.00%,9.80 - 15.80,9.80,"907,141.00",9.90,364,9.90,"10,355.480","30,000.00",,"10,460.10",Equity,10.0,1,"1,046,008,121",Bank,"Rangs RD Center, Block: SE (F), Plot: 03, Gulshan AvenuernGulshan-1, Dhaka-1212, And  23 Dikusha C/A, Dhaka-1000 (Share Office)","02-223357613, 02-223380229, 02-223390979",02-55045699,share@fsiblbd.com,http://www.fsiblbd.com,Oli Kamal,1938886188,02-223357613,bcs@fsiblbd.com
Fortune Shoes Limited,FORTUNE,77.00,77.00,3:45 PM,77.00 - 78.20,-1.5,100.27,-1.91%,50.70 - 145.80,77.00,"1,301,822.00",78.50,740,78.50,"12,759.036","2,500.00","20 Oct, 2016","1,625.35",Equity,10.0,1,"162,535,489",Tannery Industries,"Dhaka Office: Moon Island, Suite: C-3, Plot: 34 & 36rnRoad: 08, Block:E, Niketon, Gulshan-1, Dhaka-1212.","029851132, '043163498, '043161776'",,mizanur@fortuneshoes.com,http://www.fortuneshoesbd.com,Riaz Uddin Bhuiya,01816382722,029851132,cs@fortuneshoesbd.com
Fu-Wang Ceramic Industries Ltd.,FUWANGCER,17.80,17.80,3:45 PM,17.40 - 18.00,0.1,23.76,0.56%,14.90 - 28.60,17.40,"1,357,387.00",17.70,629,17.70,"2,411.963","5,000.00",,"1,362.69",Equity,10.0,1,"136,269,093",Ceramics Sector,"204/B (4th floor) Bir Uttam Mir Shawkat Road, Tejgaon-Gulshan Link Road, Dhaka-1208.","02222282361, 02222283275",02222263985,shareinfo@fuwangceramic-bd.com,http://www.fuwangceramic.com,MD. A. HALIM THAKUR,"01989196096, 01955576967","02222282361, 02222283275, EXT-110",halimthakur@gmail.com
Fu Wang Food Ltd.,FUWANGFOOD,24.10,24.10,3:45 PM,23.10 - 24.40,0.6,90.95,2.55%,12.80 - 27.30,23.10,"3,889,660.00",23.50,"1,815",23.50,"2,604.723","1,500.00",,"1,108.39",Equity,10.0,1,"110,839,284",Food & Allied,"House # 55, Road # 17, Banani C/A, Dhaka - 1213","+880222287359-60, +880222289864, +880222289958",+8802222285452,info@fuwangfoodsltd.com,http://www.fuwangfoodsltd.com/,Md. Sharif Al Mahmood,+8801701222901,"+880222287359-60, +880222289864, +880222289958, Ext-105",fuwangfoodsshare@gmail.com
GBB Power Ltd.,GBBPOWER,20.10,20.10,3:45 PM,19.90 - 20.30,-0.2,13.72,-0.99%,19.90 - 51.10,19.90,"686,913.00",20.30,423,20.30,"2,066.612","2,000.00","13 Jun, 2012","1,018.04",Equity,10.0,1,"101,803,548",Fuel & Power,"Momtaz Plaza (4th Floor), House # 07, Road # 04, Dhanmondi R/A, Dhaka-1205","02-58616703,    02-58613322,    02-9666568, '01732401797",,power@gbb.com.bd,http://www.gbb.com.bd,Mohammad Sattar Hossain,01552-302021,"02-58616703,  02-58613322, 02-9666568   Ext-101",compsec@gbb.com.bd
Gemini Sea Food Ltd.,GEMINISEA,323.70,323.70,3:45 PM,315.60 - 325.90,1.7,20.78,0.53%,164.20 - 553.90,316.10,"65,240.00",322.00,630,322.00,"1,512.212",400.00,,46.96,Equity,10.0,1,"4,696,312",Food & Allied,"House # 44, Road # 16 (New), 27(old), Dhanmondi, Dhaka-1209",41020596-41020602,41020525,cs@geminiseafood.com,http://www.geminiseafood.com,AFM Nazrul Islam,01711-295933,+88-02-48118902 to +88-02-48118908 (Ext.-403),nazrul@gemconcorp.com
Genex Infosys Limited,GENEXIL,67.30,67.30,3:45 PM,67.00 - 67.90,-1,71.61,-1.46%,67.00 - 185.00,67.00,"1,067,032.00",68.30,"1,100",68.30,"7,755.219","2,000.00","06 Feb, 2019","1,135.46",Equity,10.0,1,"113,546,400",IT Sector,"Plot-42 & 69, Nitol Niloy Tower (Level 8), Nikunja-2, Khilkhet, Dhaka-1208","+88 09 612 111 000, 01847-100131",+88 02 55033757,jewel.rashed@genexinfosys.com,http://www.genexinfosys.com,Md. Jewel Rashed Sarker,01847-100131,"+880255033757, Ext-309",jewel.rashed@genexinfosys.com
Generation Next Fashions Limited,GENNEXT,6.20,6.20,3:45 PM,6.00 - 6.20,0.1,8.34,1.64%,5.10 - 9.20,6.10,"1,373,995.00",6.10,314,6.10,"3,019.345","5,000.00","05 Dec, 2012","4,949.75",Equity,10.0,1,"494,974,555",Textile,"Building # 348, Road # 05, DOHS Baridhara, Dhaka-1206","8412625, 8411623, 8414302",8416491,mdshahjahan@gnf-bd.com,http://www.gnf-bd.com,Mohammed Shahjahan,01769969101,"8412625, 8411623, 8414302; Ext: 109",mdshahjahan@gnf-bd.com
Golden Harvest Agro Industries Ltd.,GHAIL,17.80,17.80,3:45 PM,17.10 - 18.40,0.4,11.21,2.30%,15.70 - 24.50,17.20,"642,177.00",17.40,291,17.40,"3,755.575","2,500.00","04 Mar, 2013","2,158.38",Equity,10.0,1,"215,837,621",Food & Allied,"Sena Kalyan Business Mart, Tejgaon, Level 8, Gulshan- Tejgaon- Link Road, Tejgaon I/A, Dhaka-1208.",+8801713185562,+8802 8878204,info@goldenharvestbd.com,http://www.goldenharvestbd.com,Nirmal Chandra Sardar,01841 672029,+88028878784-7-108,nirmal.sardar@goldenharvestbd.com
Global Heavy Chemicals Limited,GHCL,36.40,36.40,3:45 PM,34.00 - 36.90,1.9,11.44,5.51%,29.70 - 47.50,34.00,"316,626.00",34.50,455,34.50,"2,484.000","1,000.00","06 Mar, 2013",720.00,Equity,10.0,1,"72,000,000",Pharmaceuticals & Chemicals,"37, Segun Bagicha, Dhaka-1000","880-2-9330191, 9357244",880-2-8312919,info.ghcl@opsonin.net,http://www.ghclbd.com,Khondoker Ahadduzzaman,01713-374873,02-48311900 Ext: 1616,ahad.ghcl@opsonin.net
Global Insurance Company Ltd.,GLOBALINS,31.60,31.60,3:45 PM,31.30 - 31.90,-0.3,4.55,-0.94%,31.30 - 68.00,31.30,"144,960.00",31.90,229,31.90,"1,293.601","1,000.00",,405.52,Equity,10.0,1,"40,551,763",Insurance,"Al-Razi Complex (12th Floor), 166-167, shaheed syed Nazrul Islam sarani, Purana Paltan,Dhaka-1000.","55111601-3, 9570450,  9570147, 55111604",9556103,globalho2000@gmail.com,http://www.globalinsurancebd.com,Md. Omar Faruk,01711677215,"55111601-3, 9570450,  9570147 (ext-201)",cs@gilbd.com
Golden Son Ltd.,GOLDENSON,18.60,18.60,3:45 PM,18.30 - 18.70,0,29.36,0.00%,15.70 - 23.30,18.30,"1,594,768.00",18.60,543,18.60,"3,194.174","5,000.00",,"1,717.30",Equity,10.0,1,"171,729,772",Engineering,"Khowajnagar, PO: Ajimpara, PS: Karnaphuli, Chattogram.","+880 31-617934, 2864526, +880 55052098-99",+88-02-55052100,inquiry@goldensonbd.com,http://www.goldensonbd.com,"Md. Ayinuddin, ACS",01755645047,+88055052098-99 (Ext. 202),secretary@goldensonbd.com
Grameenphone Ltd.,GP,287.10,287.10,3:45 PM,286.00 - 288.00,-0.8,37.18,-0.28%,277.00 - 396.80,286.90,"129,683.00",287.90,854,287.90,"388,751.376","40,000.00",,"13,503.00",Equity,10.0,1,"1,350,300,022",Telecommunication,"GPHOUSE, Bashundhara, Baridhara, Dhaka-1229, Bangladesh.",01711555888,+880-2-8412921,shareoffice@grameenphone.com,http://www.grameenphone.com,Mr. S.M. Imdadul Haque,01713118191,0202222282990,imdadul@grameenphone.com
GPH Ispat Ltd.,GPHISPAT,48.40,48.40,3:45 PM,46.70 - 48.90,0.8,35.78,1.68%,38.00 - 74.60,46.70,"757,135.00",47.60,915,47.60,"20,792.464","10,000.00","19 Apr, 2012","4,368.16",Equity,10.0,1,"436,816,480",Engineering,"Crown Chamber, 325 Asadgonj, Chattogram.","+88 031 631460 (PABX), +88 031 2854997, +88 031 631460 (Ext: 149)",+88 031 610995,info@gphispat.com.bd,https://www.gphispat.com.bd/,"Abu Bakar Siddique, FCMA",01711405988,"+88 031 631460 (Ext: 127), +88 031 2866481",siddique_1949@yahoo.com
GQ Ball Pen Industries Ltd.,GQBALLPEN,104.30,104.30,3:45 PM,102.70 - 106.00,-0.4,3.34,-0.38%,97.00 - 149.00,102.70,"32,231.00",104.70,277,104.70,934.771,500.00,,89.28,Equity,10.0,1,"8,928,091",Miscellaneous,"G.Q. Building, 331/2, Tajuddin Ahmed Swaroni, Bara Magh Bazar, Dhaka - 1217",9344630-9,"880-02-8317009, 8319788'",cs@gq-group.com,http://www.gq-group.com,Uzzal Kumar Saha,1938877012,"9344630-9 , Ext.132",cs@gq-group.com
Grameen One,GRAMEENS2,15.10,15.20,3:45 PM,15.00 - 15.20,0,0.92,0.00%,15.00 - 21.90,15.10,"61,359.00",15.10,53,15.10,"2,754.208",-,,"1,823.98",Mutual Fund,10.0,1,"182,397,902",Mutual Funds,"AIMS of Bangladesh LimitedUnique Trade Center (UTC),Level 6(SW),8 Panthopath, Karwan Bazar, Dhaka-1215.","48120558, 48120559","48112652,48112653",hello@aims-bangladesh.com,http://www.aims-bangladesh.com,,,,
Green Delta Mutual Fund,GREENDELMF,6.90,6.90,3:45 PM,6.90 - 7.00,-0.1,0.54,-1.43%,6.50 - 9.90,6.90,"78,289.00",7.00,49,7.00,"1,050.000",-,,"1,500.00",Mutual Fund,10.0,1,"150,000,000",Mutual Funds,"LR Global Bangladesh Asset Management Company Ltd. Concord IK Tower (4th Floor), Plot # 2, Block # CEN(A), Gulshan-2, Dhaka-1212, Bangladesh.","+88 01730450478-9, +88 02 47117267, +88 02 47110306, +88 02 47116188",(+8802) 9895689,info@lrglobalbd.com,http://www.lrglobalbd.com,,,,
